"","participant","Stim","Valence","Arousal_rate.response","Valence_rate.response","Familiarity_rate.response","Pleasantness_rate.response","Arousal_rate.rt","Valence_rate.rt","Familiarity_rate.rt","Pleasantness_rate.rt"
"49",2,"La Finta Giardiniera, K. 196_ Ouverture. Allegro Molto (Mozart)_rep.wav","Positive","3.6953125",4.6640625,5.1484375,4.390625,"17.5056130119996",15.244253235,10.7164172130001,8.59426577199974
"50",2,"Suite Gothique Pour Grande Orgue, Op. 25- IV. Toccata (Boëllman)_rep.wav","Negative","4.44921875",2.30859375,3.9296875,1.70703124999999,"19.021511039999901",9.86254366999992,12.3614345669998,7.28225756400024
"51",2,"Chromatic scale up_rep.wav","Neutral","1.41015625",4.01171875,5.5859375,2.375,"8.0432525689998293",17.7642229789998,11.9810784810001,14.2533829459998
"52",2,"Annen Polka_ Op. 117 (Strauss)_rep.wav","Positive","3.3515625",6.08984375,4.16015625,5.47265625,"22.127410949000001",19.8520764920003,13.9465690680003,15.9918637170003
"53",2,"Car Interior_rep.wav","Neutral","2.31640625",4.17578125,6.76171875,5.125,"14.360090521000499",12.0551691029995,19.563791777,17.2210105650001
"54",2,"Divertimento in D Major, K. 251_ V. Allegro assai (Mozart)_rep.wav","Positive","4.5390625",6.08203125,2.99609375,5.5390625,"16.4305852900006",14.7974678340006,21.6054709629997,11.7098428809995
"55",2,"Suite Bergamasque, L. 75_ No. 3 Claire de Lune (Debussy)_rep.wav","Negative","4.4296875",3.47265625,6.65234375,5.2734375,"22.528482432000601",20.7702055710005,13.1591926529999,15.2545988370002
"56",2,"Swan Lake_ Spanish Dance (Tchaikovsky)_rep.wav","Positive","3.359375",4.5625,6.4453125,4.49609375,"31.851221355999702",29.4455175990005,13.9404213439993,21.5702853689999
"57",2,"Piano Chords_rep.wav","Neutral","1.5234375",3.75390625,2.30859375,1.3828125,"15.4807727920006",19.1690251720001,10.6267132920002,24.5714924430003
"58",2,"The Barber of Seville- Figaro’s Aria (Rossini)_rep.wav","Positive","4.33984375",6.34765625,5.2890625,4.8046875,"17.8805431719993",15.3810132609996,9.1486139210001,11.7901840859994
"59",2,"Night on Bare Mountain (Mussorgsky)_rep.wav","Negative","4.21875",2.53125,2.15234375,5.2890625,"24.8454174380003",21.1291525710003,17.1271776309995,22.5174138370002
"60",2,"Symphony No. 33 in B flat, K. 319- 4. Finale Allegro assai (Mozart)_rep.wav","Positive","4.76171875",4.46484375,2.55078125,5.36328125,"29.461783538999899",25.8206173190001,15.0764877319998,17.549208112
"61",2,"Eine Kleine Nachtmusik in G Major, K. 525_ I. Allegro (Mozart)_rep.wav","Positive","3.60546875",5.2421875,7,4.5703125,"14.0561398550007",16.763277815,6.40808291600023,11.7053428240005
"62",2,"White Noise Co_rep.wav","Neutral","3.375",3.9921875,3.9765625,4.7109375,"20.127829588999699",18.6712967990006,12.1656124029996,16.2905059110007
"63",2,"Piano Sonata No. 11 in A Major, K. 331_ III. Alla turca (Mozart)_rep.wav","Positive","5.21484375",6.08984375,7,5.2421875,"21.6100931089995",24.3418709340003,19.4009368719998,18.1404417510002
"64",2,"Rain on a Tent_rep.wav","Neutral","2.09375",3.96875,6.64453125,2.3828125,"12.4604145539997",10.816055489,6.55063329899985,15.4427604720003
"65",2,"Two Pieces for String Octet Op. 11, II_ Scherzo (Shostakovich)_rep.wav","Negative","5.34765625",1.7578125,1.70703124999999,5.265625,"15.3012376440001",17.4470385179993,8.45760880299985,10.093231238
"66",2,"Fireplace_rep.wav","Neutral","1.6171875",3.984375,6.48046875,1.53124999999999,"14.1503091819995",12.1706795869995,6.57343997000043,9.46053050899991
"67",2,"Fan Noise_rep.wav","Neutral","1.3515625",3.91796875,5.94140625,1.41796875,"14.804511362",12.7044096889994,8.75018531800014,10.6503611150001
"68",2,"Duduk Song_rep.wav","Neutral","4.859375",1.36718749999999,2.5390625,5.78515625,"15.117461609999699",8.50482301400006,11.2282077029994,12.4512872299992
"69",3,"The Barber of Seville- Figaro’s Aria (Rossini)_rep.wav","Positive","5.390625",5.20703125,6.05859375,5.84375,"14.8980334819998",22.0184943470003,28.4521031779995,32.9377971399999
"70",3,"Tape Hiss_rep.wav","Neutral","2.8671875",4,2.5703125,3.06640625,"11.1952732860008",15.5081380359997,22.2967999579996,27.2620496990002
"71",3,"The Four Seasons, Concerto No. 2 in G Minor, RV 315 “Summer”- III. Presto (Vivaldi)_rep.wav","Negative","5.9921875",4.51953125,7,5.3984375,"11.4287568919999",17.766052764,8.32515056200009,21.7795161009999
"72",3,"Night Commute_rep.wav","Neutral","2.05859375",4.01953125,1.76171875,5.69921875,"11.203491631000301",18.4964234920007,22.3488461830002,25.6578660339992
"73",3,"Railroad_rep.wav","Neutral","1.4296875",4.01171875,1.8984375,3.3359375,"14.7249829860011",18.3849021999994,22.3827205169982,26.1460118190007
"74",3,"Suite for Strings “Le Grand Cahier”- X. L’Incendie (Litvinovsky)_rep.wav","Negative","5.140625",2.8359375,3.00390625,4.046875,"17.837926361000399",20.615123173,29.9199482309995,32.7442738939989
"75",3,"Random Notes_rep.wav","Neutral","1.3203125",3.99609375,1.29687499999999,2.0390625,"12.103887244000299",14.8886571419989,18.4424415939993,24.5737109300007
"76",3,"Singing Bowls_rep.wav","Neutral","3.57421875",5.65234375,4.03125,5.4453125,"15.5840275900009",19.6152660000007,25.5014513860005,28.4330254679989
"77",3,"Suite for Strings “Le Grand Cahier”- II. Les Alertes (Litvinovsky)_rep.wav","Negative","4.96484375",2.45703125,3.5859375,4.796875,"10.3682044100005",20.3809576390012,23.4630220930012,27.211710943
"78",3,"C Scale down_rep.wav","Neutral","2.7578125",4.01171875,5.96875,3.7265625,"18.909888816000599",21.836210899999,8.76323894599954,24.4471453340011
"79",3,"Symphony No. 6 in F Major, Op. 68 “Pastoral”; IV. Thunder Storm (Beethoven)_rep.wav","Negative","4.7734375",2.3359375,5.82421875,5.8125,"33.541362176998497",27.1211334910003,15.7308700640005,20.0037629599992
"80",3,"Rain on a Tent_rep.wav","Neutral","2.80859375",3.984375,3.69140625,4.01171875,"16.624707451999701",14.921787352001,9.61166962899915,12.7623193660001
"81",3,"Ice World_rep.wav","Neutral","2.9921875",5.265625,2.40234375,6.0703125,"22.3234760289997",19.0677142280001,13.1844442960009,14.9561677679994
"82",3,"String Quartet No. 7, III_ Allegro (Shostakovich)_rep.wav","Negative","4.796875",2.80078125,4.24609375,3.578125,"24.0199133759997",19.8191430089991,13.3183669729987,15.5819135700003
"83",3,"Two Pieces for String Octet Op. 11, II_ Scherzo (Shostakovich)_rep.wav","Negative","4.86328125",2.0859375,3.75,4.71875,"11.102102291000801",8.56890012900112,16.4187816250014,19.4777263100004
"84",3,"Piano Quintet in B Minor, IV_ Temo con Variazioni (Sviridov)_rep.wav","Negative","5.43359375",2.609375,4.046875,5.4609375,"19.976082429000598",17.5830508420003,22.5842437549999,10.7217908479997
"85",3,"Dear Zigeunerbaron (The Gypsy Baron), Act III_ March (Strauss)_rep.wav","Positive","5.55859375",5.9921875,4.8046875,5.8671875,"12.091674195999",7.78724191699984,14.5482025679993,16.0858254630002
"86",3,"String Quartet No. 8 in C Minor II (Shostakovich)_rep.wav","Negative","5.26171875",1.9921875,3.734375,3.953125,"18.730213226999599",8.42725115600114,10.3787828099993,12.5985215660002
"87",3,"Symphony No. 2 in D Minor, Op. 40, I_ Allegro Ben Articulo (Prokofiev)_rep.wav","Negative","4.59375",2.31249999999999,2.3984375,4.0234375,"14.1182501170005",10.2310790989995,16.0648189969997,19.9505167340012
"88",3,"La Finta Giardiniera, K. 196_ Ouverture. Allegro Molto (Mozart)_rep.wav","Positive","5.421875",6.453125,5.66015625,6.57421875,"25.308084965001399",11.4530342889993,13.7399297519987,9.90729658700001
"89",3,"Symphony No. 10 in E Minor, Op. 93_ Allegro (Shostakovich)_rep.wav","Negative","5.09375",1.55468749999999,3.39453125,4.33984375,"14.819373880000001",9.42733251299978,11.1740050030002,12.5249133219986
"90",3,"Fireplace_rep.wav","Neutral","2.3203125",4.01953125,5.171875,4.41796875,"12.1039127899985",10.2687309849989,8.40708363799967,14.5104363739992
"91",3,"Night on Bare Mountain (Mussorgsky)_rep.wav","Negative","5.1875",1.40624999999999,6.51953125,4.81640625,"12.0691493140002",8.89781263199984,7.22311081599946,17.184074925999
"92",3,"Piano Chords_rep.wav","Neutral","2.67578125",4.03125,1.78515624999999,2.7578125,"19.474557000999901",11.4016653979997,16.5583182320006,14.1577005079998
"93",3,"The Pilgrim_rep.wav","Neutral","2.87109375",3.984375,2.16015625,5.2265625,"14.890324961001101",9.69495014600033,11.0465538480002,12.8272673350002
"94",3,"String Concerto in B-Flat-Minor, RV 164_ I. Allegro (Vivaldi)_rep.wav","Positive","5.1640625",5.6875,5.21484375,6.49609375,"18.6294154450006",11.4845823449995,12.9837948180011,15.2681075069995
"95",3,"Sonata for Violin and Piano in D Major, KV 7 (Mozart)_rep.wav","Positive","4.78125",5.92578125,3.00390625,6.1640625,"14.6502729330004",12.7350127999998,10.0141505889987,7.30984187899957
"96",3,"Suburb_rep.wav","Neutral","2.0859375",3.953125,5.08984375,4.5546875,"18.404842242998701",17.3514511609992,8.46360559300046,15.1646428380008
"97",3,"C Scale up_rep.wav","Neutral","2.10546875",3.98828125,6.02734375,3.5,"14.9185893350004",8.4328448920005,10.4314853720006,12.5210313439984
"98",3,"String Quartet No. 4, V_ Allegro Molto (Bartok)_rep.wav","Negative","5.765625",2.59765625,4.78515625,5.1015625,"13.841840693999901",11.6717503660001,17.2124344860003,22.7284468790003
"99",3,"Brandenburg Concerto No. 4 in G Major, BWV 1049_ I. Allegro (Bach)_rep.wav","Positive","5.5390625",6.265625,5.75390625,6.6015625,"17.362431953000801",14.7265041640002,18.7689018100008,8.68818551900039
"100",3,"Aircraft Cabin_rep.wav","Neutral","1.71875",4.01953125,1.50390625,3.32421875,"14.175677614999501",12.7745228230014,8.15226383900153,10.6990220330008
"101",3,"String Quartet No. 2, I- Allegro Rustico (Ginastera)_rep.wav","Negative","4.62890625",2.171875,3.1875,4.21484375,"10.1663945529999",18.9123992460008,14.3296531079995,15.8975211870001
"102",3,"Nutcracker Suite, Op. 71a- No. 2c, Russian Dance Trépak (Tchaikovsky)_rep.wav","Positive","5.82421875",6.15234375,6.58984375,6.40625,"9.0291397640012292",10.1714434099994,11.911999164,13.5367290489994
"103",3,"Church Sonata in C Major, KV. 328 on period instruments (Mozart)_rep.wav","Positive","4.66015625",6.19921875,4.93359375,5.546875,"10.276693477000601",13.0336772480004,19.6848734060004,23.7219643309999
"104",3,"Swan Lake_ Spanish Dance (Tchaikovsky)_rep.wav","Positive","4.7265625",5.70703125,5.421875,5.8671875,"16.685490411000501",12.8635645629983,10.6165612329987,15.279612192
"105",3,"Fan Noise_rep.wav","Neutral","2.21875",3.97265625,2.9296875,3.83984375,"12.8981652239999",8.7189063400001,10.1924209000007,14.5852647459996
"106",3,"Annen Polka_ Op. 117 (Strauss)_rep.wav","Positive","3.71484375",6.046875,4.46875,5.8828125,"18.509542448999099",15.7217656569991,11.9682996369992,8.1388443930009
"107",3,"Concerto for Strings in D Major, RV 121_ I. Allegro Molto (Vivaldi)_rep.wav","Positive","3.15234375",5.38671875,5.1640625,5.9921875,"17.945953651000298",15.9876528210006,11.9980505830008,13.4920021310008
"108",3,"String Quartet No. 1, I- Allegro Violento Ed Agitato (Ginastera)_rep.wav","Negative","3.44921875",2.5234375,3.140625,3.9609375,"17.469204322000198",15.7865172700003,10.7075553499998,12.8194210260007
"109",3,"Unter Donner und Blitz (Thunder and lightning Polka) (Strauss)_rep.wav","Positive","4.625",5.13671875,4.5078125,5.73046875,"12.9606210380006",16.8025193339999,18.5056599449999,20.194414122001
"110",3,"Sinfonia in G Major, RV 149- I. Allegro Molto (Vivaldi)_rep.wav","Positive","3.453125",5.17578125,3.47265625,4.7265625,"30.497302896999798",28.9755474470002,26.1662432050015,32.5084942119992
"111",3,"Night Blue_rep.wav","Neutral","2.234375",5.09375,1.86328125,4.703125,"12.368189452999999",11.0122171470011,18.1150405690004,15.9220984349994
"112",3,"Chaconne in G Minor (Vitali)_rep.wav","Negative","4.04296875",2.74609375,3.47265625,4.83984375,"14.437777994000401",16.7356076679989,20.6683773450004,22.7053794539988
"113",3,"Car Interior_rep.wav","Neutral","1.67187499999999",4.0234375,2.53515625,3.2578125,"10.5573374289997",9.15798537699993,11.9867336300012,13.4635063759997
"114",3,"Piano Sonata No. 14 in C-Sharp Minor, “Moonlight Sonata”_ 1. Adagio Sostenuto (Beethoven)_rep.wav","Negative","4.21484375",4.03125,2.69921875,4.20703125,"14.3584719749997",12.8596887980002,17.4011228540002,18.661953797
"115",3,"Symphony No. 33 in B flat, K. 319- 4. Finale Allegro assai (Mozart)_rep.wav","Positive","4.26953125",4.95703125,4.58984375,5.67578125,"24.229485007999699",15.7174621020003,20.676144166,22.1407196180007
"116",3,"88 Keys_rep.wav","Neutral","2.296875",4.01953125,1.78906249999999,2.734375,"17.348859134001",10.7398997840009,9.19014041199989,15.1097679839986
"117",3,"Random 2 Note Chords_rep.wav","Neutral","1.77734375",3.9375,1.61328124999999,2.8125,"21.009006704000001",15.4173740690002,17.6109871319986,19.3358466429999
"118",3,"Duduk Song_rep.wav","Neutral","2.84375",4.07421875,1.5,5.23046875,"18.496965788999599",13.5404389649993,14.9696910159982,16.3669962200001
"119",3,"Piano Sonata No. 11 in A Major, K. 331_ III. Alla turca (Mozart)_rep.wav","Positive","6.22265625",6.26953125,6.9140625,6.39453125,"11.852105154999601",13.5926887910009,7.09764231600092,9.57235926300018
"120",3,"The Four Seasons_ Concerto No. 1 in E Major, FV 269 “Spring”_ I. Allegro (Vivaldi)_rep.wav","Positive","5.046875",5.9609375,6.26953125,6.07421875,"15.0877769369999",12.8434953409996,7.7714892139993,17.0170281379996
"121",3,"Violin Concerto Op. 77, II_ Scherzo (Shostakovich)_rep.wav","Negative","3.5546875",2.5078125,2.67578125,4.3515625,"10.6136090479994",9.0199772270007,14.4028370169999,16.021899497
"122",3,"Suite Bergamasque, L. 75_ No. 3 Claire de Lune (Debussy)_rep.wav","Negative","5.42578125",4.6796875,6.41796875,6.0625,"15.3743494209993",13.1837770310012,9.0872499979996,16.7091856250008
"123",3,"Healing Water_rep.wav","Neutral","2.265625",4.08984375,2.34375,3.6640625,"12.668401900998999",10.8337340889993,7.7043956260004,9.06375366399879
"124",3,"White Noise Co_rep.wav","Neutral","2.2890625",3.97265625,1.99999999999999,3.625,"11.9842935069991",10.4693178259985,7.44222649500079,9.03603703599947
"125",3,"Tritsch-Tratsch (Chit-Chat) Polka_ Op 214 (Strauss)_rep.wav","Positive","4.53125",5.6953125,5.03515625,5.671875,"18.956129845000699",17.238367842001,13.3930566660001,14.8939455990002
"126",3,"Primeval Forest_rep.wav","Neutral","2.18359375",4.765625,1.45703125,4.54296875,"13.2581536749985",16.0119064129994,17.8221836770007,19.3027588060012
"127",3,"Radetzky March, Op. 228 (Strauss)_rep.wav","Positive","5.4921875",5.921875,6.90234375,6.33203125,"10.673116726999",12.927627205001,7.102705452,15.6714809629993
"128",3,"String Quartet No. 2, V- Furioso (Ginastera)_rep.wav","Negative","4.22265625",2.92578125,5.71875,4.30859375,"12.5732773679992",10.2347112570005,7.9734379700003,13.9830160199999
"129",3,"Le Nozze do Figaro_ Non Piu Andrai, Farfallone Amoroso (Mozart)_rep.wav","Positive","3.69140625",5.3984375,4.86328125,5.44921875,"21.114460550999802",17.3661556179995,12.3996557219998,22.8392356889999
"130",3,"Dark Forest_rep.wav","Neutral","2.515625",3.99609375,1.32812499999999,3.80078125,"15.7388793640002",14.0567108169998,12.5955561890004,11.3443103069985
"131",3,"Chromatic scale down_rep.wav","Neutral","2.32421875",4,5.1953125,4.70703125,"16.8013877070006",9.11952428199947,11.3450482980006,13.3507824829994
"132",3,"Eine Kleine Nachtmusik in G Major, K. 525_ I. Allegro (Mozart)_rep.wav","Positive","5.546875",6.0390625,7,6.03125,"11.136656613",12.5462802729998,7.3785970989993,9.37585559299987
"133",3,"Chromatic scale up_rep.wav","Neutral","1.77734375",3.26953125,2.69921875,3.40234375,"11.4146701780009",9.75751707900053,8.45351974699951,13.2765301830004
"134",3,"Concerto Grosso No. 1, II_ Toccata (Schnittke)_rep.wav","Negative","3.39453125",3.1171875,2.38671875,1.63671874999999,"14.5786133900001",10.4805196209999,16.2293449180015,12.6431146430004
"135",3,"Suite Gothique Pour Grande Orgue, Op. 25- IV. Toccata (Boëllman)_rep.wav","Negative","3.9765625",3.15234375,2.72265625,4.6796875,"18.2739008830012",14.3902865079999,12.2374918280002,20.8652288700013
"136",3,"Divertimento in D Major, K. 251_ V. Allegro assai (Mozart)_rep.wav","Positive","4.07421875",5.390625,3.6640625,5.70703125,"12.4018732990007",10.6411766259989,9.31641377699998,7.43299059499986
"137",4,"Chaconne in G Minor (Vitali)_rep.wav","Negative","5.80078125",3.54296875,1.98828124999999,4.59765625,"37.453041374999799",34.2029618999999,30.3262349010001,26.1668847479995
"138",4,"Suite for Strings “Le Grand Cahier”- II. Les Alertes (Litvinovsky)_rep.wav","Negative","6.421875",1.26953124999999,2.99609375,5.3671875,"17.032549207999999",19.4014087730001,24.4093677609998,12.4176060300001
"139",4,"Symphony No. 6 in F Major, Op. 68 “Pastoral”; IV. Thunder Storm (Beethoven)_rep.wav","Negative","6.37109375",2.89453125,5.61328125,6.51953125,"32.903383360999598",38.8481979759999,11.7696767219999,25.9243509479997
"140",4,"Sonata for Violin and Piano in D Major, KV 7 (Mozart)_rep.wav","Positive","4.3515625",6.00390625,4,5,"19.880432255999899",15.2724743580001,9.80124423699999,8.27645175600037
"141",4,"The Barber of Seville- Figaro’s Aria (Rossini)_rep.wav","Positive","3.40234375",5.03125,5.5234375,5.50390625,"33.734966200000102",31.5504382389999,26.750173549,36.2500247769999
"142",4,"Nutcracker Suite, Op. 71a- No. 2c, Russian Dance Trépak (Tchaikovsky)_rep.wav","Positive","6.8828125",6.78125,6.83203125,6.84375,"12.0659546469996",13.7064099610001,9.60512804100017,8.42122699200035
"143",4,"Radetzky March, Op. 228 (Strauss)_rep.wav","Positive","4.9921875",6.50390625,5.40234375,6.6015625,"20.259681508999599",18.1105426960002,12.3886914839999,10.1900791619996
"144",4,"Violin Concerto Op. 77, II_ Scherzo (Shostakovich)_rep.wav","Negative","3.703125",1.75390624999999,1.15625,4.2578125,"19.575521866999601",16.202965464,9.63657815800024,24.3069208009997
